true_class,background,0.5,1.0,1.5,2.0,2.5
background,79,0,1,0,0,0
0.5,0,23,0,0,0,0
1.0,0,0,26,0,0,0
1.5,0,0,0,15,0,0
2.0,1,0,0,0,13,1
2.5,1,0,0,0,0,11
